"","healthy_store_market","borough","year","address","latitude","longitude","type"
"66","Decayagua Deli Grocery","Brooklyn",2015,"290 Arlington Avenue",40.680961,-73.883826,"healhty store"
"67","Dumont Deli & Grocery","Brooklyn",2015,"690 Linwood St.",40.668497,-73.88122,"healhty store"
"68","Four Star Supermarket","Brooklyn",2015,"1075 Liberty Avenue",40.678354,-73.869546,"healhty store"
"69","Fulton Gourmet Deli and Grill","Brooklyn",2015,"3336 Fulton St",40.683548,-73.872518,"healhty store"
"70","J and J Grocery","Brooklyn",2015,"1055 Blake Avenue",40.670136,-73.879335,"healhty store"
"71","J R Grocery","Brooklyn",2015,"944 Hegeman Avenue",40.665825,-73.877941,"healhty store"
"72","J.T. Deli Grocery","Brooklyn",2015,"1145 Glenmore Avenue",40.677497,-73.866563,"healhty store"
"73","Los Chamona Deli Grocery","Brooklyn",2015,"576 Ridgewood Avenue",40.686622,-73.867839,"healhty store"
"74","Luna Grocery","Brooklyn",2015,"1082 Hegeman Avenue",40.667838,-73.873244,"healhty store"
"75","MACO Food Corp.","Brooklyn",2015,"1018 Belmont Avenue",40.674146,-73.871458,"healhty store"
"76","Melendez Deli Grocery","Brooklyn",2015,"145 Euclid Avenue",40.685225,-73.874621,"healhty store"
"77","Mike's Grocery Corp.","Brooklyn",2015,"1268 Sutter Avenue",40.672872,-73.871161,"healhty store"
"78","My Neighborhood Grocery","Brooklyn",2015,"385 Chestnut Street",40.677517,-73.873983,"healhty store"
"79","New Way Grocery","Brooklyn",2015,"145 Ridgewood Avenue",40.68303,-73.883368,"healhty store"
"80","Reyes & G Mini Market","Brooklyn",2015,"120 Autumn Avenue",40.687414,-73.871065,"healhty store"
"81","Sutter Grocery","Brooklyn",2015,"978 Sutter Avenue",40.671237,-73.882578,"healhty store"
"82","1879 Deli Carter Corp","Bronx",2015,"1879 Carter Avenue",40.847427,-73.901861,"healhty store"
"83","Anthony's Place Deli Grocery","Bronx",2015,"306 East 178 Street",40.849999,-73.902497,"healhty store"
"84","Aurora Deli Grocery","Bronx",2015,"150 East 174 STREET",40.844842,-73.909679,"healhty store"
"85","C & T Deli Grocery","Bronx",2015,"2275 Washington Avenue",40.854929,-73.89342,"healhty store"
"86","Concourse Food Plaza","Bronx",2015,"2096 Grand Concourse",40.854042,-73.902295,"healhty store"
"87","C-Town","Bronx",2015,"229 East Tremont Avenue",40.848997,-73.904772,"healhty store"
"88","C-Town","Bronx",2015,"309 East Burnside Avenue",40.850588,-73.901133,"healhty store"
"89","Deli Grocery","Bronx",2015,"2236 Grand Concourse",40.856256,-73.90064,"healhty store"
"90","El Abanico Deli Grocery Corp.","Bronx",2015,"214 East 180 Street",40.853232,-73.901971,"healhty store"
"91","Fresh Food Deli Grocery","Bronx",2015,"2179 Washington Avenue",40.853505,-73.89442,"healhty store"
"92","J.J.N. Corp Deli Grocery","Bronx",2015,"1512 Washington Avenue",40.837956,-73.90315,"healhty store"
