"","healthy_store_market","borough","year","address","latitude","longitude","type"
"254","Lex & 103rd Inc.","Manhattan",2017,"1629 Lexington Ave",40.790216,-73.947744,"healhty store"
"255","Uptown Supermarket","Manhattan",2017,"1588 Madison Ave",40.793982,-73.949243,"healhty store"
"256","Manhattan Haat Baazar","Manhattan",2017,"165 East 106th St.",40.791966,-73.945594,"healhty store"
"257","Third Avenue Gourmet","Manhattan",2017,"2105 Third Ave",40.797447,-73.94037,"healhty store"
"258","New King Deli Grocery Corp.","Manhattan",2017,"23 East 115th St.",40.799415,-73.945645,"healhty store"
"259","Little Mexico Meat Grocery","Manhattan",2017,"2119 Third Ave",40.797752,-73.94015,"healhty store"
"260","Paniagua Deli Grocery","Manhattan",2017,"203 East 115th St.",40.797233,-73.940432,"healhty store"
"261","Family Deli & Grill","Manhattan",2018,"2266 1st Avenue",40.796341,-73.935152,"healhty store"
"262","Taino Sunrise Corp","Manhattan",2018,"2254 Third Avenue",40.802142,-73.936967,"healhty store"
"263","Natural Food Deli Inc.","Manhattan",2018,"2181 3rd Avenue",40.79979,-73.938645,"healhty store"
"264","Harlem Health Food Gourment","Manhattan",2018,"2239 1st Avenue",40.795419,-73.935847,"healhty store"
"265","1663 Park Avenue Mini Market Corp","Manhattan",2018,"1663 Park Avenue",40.800201,-73.942557,"healhty store"
"266","NYC Grill","Manhattan",2018,"1938 Madison Avenue",40.805328,-73.940974,"healhty store"
"267","Grab & Go Food Inc.","Manhattan",2018,"2096 5th Avenue",40.808827,-73.940512,"healhty store"
"268","1886 Park Avenue Food Corp","Manhattan",2018,"1886 Park Avenue",40.80722,-73.937468,"healhty store"
"269","Exquisite Grill Deli","Manhattan",2018,"521 Lenox Avenue",40.814873,-73.940311,"healhty store"
"270","Key Food Supermarket","Manhattan",2018,"592 Lenox Avenue",40.817088,-73.938669,"healhty store"
"271","551 Deli & Grocery","Manhattan",2018,"551 Lenox Avenue",40.815935,-73.939534,"healhty store"
"272","AJ Food Center Inc.","Manhattan",2018,"1 West 131 Street",40.810416,-73.939961,"healhty store"
"273","Associated Supermarket","Manhattan",2018,"448 Lenox Avenue",40.812396,-73.942095,"healhty store"
"274","477 Food Corp","Manhattan",2018,"477 Lenox Avenue",40.813274,-73.94148,"healhty store"
"275","2082 Food Corp. Deli","Manhattan",2018,"2082 Madison Avenue",40.809627,-73.93782,"healhty store"
"276","1797 DELI GROCERY","Brooklyn",2018,"1797 Prospect Place",40.672486,-73.916441,"healhty store"
"277","53 BUFFALO DELI","Brooklyn",2018,"53 Buffalo Avenue",40.677333,-73.924748,"healhty store"
"278","A&H MINI MARKET","Brooklyn",2018,"323 Ralph Avenue",40.677951,-73.921715,"healhty store"
"279","ADAMZ DELI & GRILL","Brooklyn",2018,"354 Saratoga Avenue",40.673578,-73.916764,"healhty store"
"280","ATLANTIC BEST DELI","Brooklyn",2018,"2053 Atlantic Avenue",40.676469,-73.913,"healhty store"
"281","EASY STOP DELI","Brooklyn",2018,"2059 Fulton Street",40.678273,-73.910506,"healhty store"
"282","FULTON&SARATOGA DELI","Brooklyn",2018,"1961 Fulton Street",40.678596,-73.916516,"healhty store"
"283","HANCOCK DELI","Brooklyn",2018,"865 Hancock Street",40.685892,-73.920898,"healhty store"
"284","KEIRY DELI","Brooklyn",2018,"483 Ralph Avenue",40.672657,-73.922215,"healhty store"
"285","KINGSBOROUGH DELI","Brooklyn",2018,"374 Ralph Avenue",40.676014,-73.921923,"healhty store"
"286","MALCOLM X GROCERY","Brooklyn",2018,"360 Malcolm X BLVD",40.680605,-73.928606,"healhty store"
"287","MALCOLM X SHOP SMART","Brooklyn",2018,"297 Malcom X BLVD",40.681862,-73.928835,"healhty store"
"288","MONTSE DELI","Brooklyn",2018,"564 Bainbridge Street",40.682914,-73.914066,"healhty store"
"289","MORALES GROCERY","Brooklyn",2018,"433 Ralph Avenue",40.674337,-73.922058,"healhty store"
"290","QUALITY DELI","Brooklyn",2018,"1872 Fulton Street",40.679029,-73.924663,"healhty store"
"291","STUYVESANT DELI SUPRMKT","Brooklyn",2018,"357 Stuyvesant Avenue",40.682031,-73.93186,"healhty store"
"292","ASSOCIATED","Brooklyn",2018,"1888 Fulton Street",40.678993,-73.924043,"healhty store"
"293","FOOD BAZAAR","Brooklyn",2018,"1682 ST Johns Place",40.670077,-73.92188,"healhty store"
"294","NSA SUPERMARKET","Brooklyn",2018,"2220 Atlantic Avenue",40.67638,-73.911727,"healhty store"
"295","VALERIO & SONS DELI GROCERY","Bronx",2018,"1383 Boston Road",40.832967,-73.897535,"healhty store"
"296","TEJEDA’S GROCERY","Bronx",2018,"271 E 166th Street",40.830489,-73.91553,"healhty store"
"297","FULTON DELI","Bronx",2018,"1225 Fulton Avenue",40.830933,-73.90431,"healhty store"
"298","LOS HIJOS DE CHORRO DELI # 2","Bronx",2018,"1278 Grand Concourse",40.836196,-73.916051,"healhty store"
"299","LOS MELLIZOS GROCERY DELI","Bronx",2018,"199 East 165 Street",40.830374,-73.919017,"healhty store"
"300","A&M SUPERMARKET","Bronx",2018,"1393 Webster Avenue",40.836099,-73.90749,"healhty store"
"301","735 SUPERMARKET","Bronx",2018,"735 East 166 Street",40.826579,-73.902968,"healhty store"
"302","O & V DELI","Bronx",2018,"1397 Franklin Avenue",40.834122,-73.90024,"healhty store"
"303","ONE FAMILY DELI GROCERY","Bronx",2018,"292 East 166 Street",40.830198,-73.914681,"healhty store"
"304","180 LA SOLUCION","Bronx",2018,"180 McClellan Street",40.832783,-73.918151,"healhty store"
"305","AYLIN GROCERY","Bronx",2018,"388 E 169th Street",40.834248,-73.90979,"healhty store"
"306","BRAVO SUPERMARKET","Bronx",2018,"210 East 170th Street",40.838472,-73.913142,"healhty store"
"307","ELAINY DELI GROCERY CORP","Bronx",2018,"1154 Washington Avenue",40.828949,-73.908197,"healhty store"
"308","KEY FOOD","Bronx",2018,"256 East 167th Street",40.833464,-73.914634,"healhty store"
"309","PIONEER SUPERMARKET","Bronx",2018,"275 East 169th Street",40.835227,-73.912662,"healhty store"
"310","1296 SHERIDAN DELI GRCR","Bronx",2018,"1296 Sheridan Avenue",40.836252,-73.914551,"healhty store"
"311","ABREU GROCERY","Bronx",2018,"773 East 169th Street",40.83069,-73.899562,"healhty store"
"312","COMPARE SUPERMARKET","Bronx",2018,"1091 Boston Road",40.827009,-73.905229,"healhty store"
"313","GREEN EARTH GRCY STORE","Bronx",2018,"1420 Grand Concourse",40.839249,-73.913448,"healhty store"
"314","MCL FRUIT & VEGETABLES","Bronx",2018,"227 East 167th Street",40.833717,-73.915389,"healhty store"
"315","PAPASE DELI GROCERY","Bronx",2018,"1331 Webster Avenue",40.834708,-73.908272,"healhty store"
"316","Associated Supermarket","Bronx",2018,"206 East 167th Street",40.833992,-73.916342,"healhty store"
"317","Associated Supermarket","Bronx",2018,"1188 Webster Avenue",40.831542,-73.910025,"healhty store"
"318","Associated Supermarket","Bronx",2018,"3470 Third Avenue",40.829999,-73.906313,"healhty store"
"319","S & R DELI GROCERY CORP","Bronx",2018,"300 East 170TH Street",40.837416,-73.910393,"healhty store"
"320","C TOWN SUPERMARKET","Bronx",2018,"630 East 169ST Street",40.831164,-73.900894,"healhty store"
"321","C- TOWN SUPERMARKET","Bronx",2018,"3690 Third Avenue",40.834976,-73.90353,"healhty store"
"322","SHOP FAIR SUPERMARKET","Bronx",2018,"306 East 170 Street",40.837377,-73.910296,"healhty store"
"323","MR Grill Deli Grocery","Bronx",2018,"1431 Prospect Avenue",40.833627,-73.896384,"healhty store"
"324","147 M&A grocery deli","Brooklyn",2019,"147 Wilson Avenue",40.700422,-73.925209,"healhty store"
"325","ACOSTA GROCERY STORE","Brooklyn",2019,"313 Wilson Avenue",40.696702,-73.918671,"healhty store"
"326","Anna’s Best","Brooklyn",2019,"139 Saint Nicholas Avenue",40.705094,-73.917507,"healhty store"
"327","Bleecker Deli & Grill","Brooklyn",2019,"442 Bleecker St # A",40.703707,-73.912705,"healhty store"
"328","Bushwick Deli","Brooklyn",2019,"1449 Myrtle Avenue",40.698859,-73.917944,"healhty store"
"329","Chino’s Deli and Grill","Brooklyn",2019,"422 Irving Avenue",40.696629,-73.910197,"healhty store"
"330","City Fresh Market","Brooklyn",2019,"229 Knickerbocker Avenue",40.703017,-73.925736,"healhty store"
"331","DEKALB MARKET","Brooklyn",2019,"1549 Dekalb Avenue",40.702936,-73.920597,"healhty store"
"332","D'ELIA DELI GROCERY","Brooklyn",2019,"43 Wilson Avenue",40.702758,-73.929314,"healhty store"
"333","DOMINGO GROCERY","Brooklyn",2019,"1004 Flushing Avenue",40.703819,-73.931012,"healhty store"
"334","FOOD BAZAAR","Brooklyn",2019,"17-59 Ridgewood Place",40.698456,-73.91119,"healhty store"
"335","Food Story","Brooklyn",2019,"1552 Myrtle Avenue",40.699485,-73.911498,"healhty store"
"336","Halsey deli &Grill","Brooklyn",2019,"1245 Halsey Street",40.693512,-73.90759,"healhty store"
"337","Irving Gourmet Deli","Brooklyn",2019,"350 Irving Avenue",40.69791,-73.912453,"healhty store"
"338","Kanowa Deli","Brooklyn",2019,"17-11 Bleecker Street",40.693104,-73.923216,"healhty store"
"339","Key Food","Brooklyn",2019,"72 Wyckoff Avenue",40.705039,-73.920414,"healhty store"
"340","Metfresh Supermarket","Brooklyn",2019,"1397 Myrtle Avenue",40.69857,-73.920717,"healhty store"
"341","Mi Pueblo Deli Mini Market Corp.","Brooklyn",2019,"180 Irving Avenue",40.701761,-73.919217,"healhty store"
"342","Mr. Grocery","Brooklyn",2019,"164 Irving Avenue",40.702187,-73.919967,"healhty store"
"343","Mr. Lemon","Brooklyn",2019,"410 Knickerbocker Avenue",40.699749,-73.920024,"healhty store"
"344","NANA DELI GROCERY","Brooklyn",2019,"182 Wilson Avenue",40.699516,-73.923652,"healhty store"
"345","Nen Grocery","Brooklyn",2019,"201 Irving Avenue",40.701475,-73.918676,"healhty store"
"346","New Way Supermarket","Brooklyn",2019,"114 Wyckoff Avenue",40.703783,-73.918403,"healhty store"
"347","Quisqueya Deli Grocery","Brooklyn",2019,"181 Saint Nicholas Avenue",40.704056,-73.915748,"healhty store"
"348","Raydan Deli","Brooklyn",2019,"276 Wilson Avenue",40.697075,-73.919363,"healhty store"
"349","Stop 1 Grocery Store","Brooklyn",2019,"263 Wyckoff Avenue # A",40.701142,-73.91397,"healhty store"
"350","TAMBRU FRUIT MARKET","Brooklyn",2019,"272 Knickerbocker Avenue",40.702236,-73.924388,"healhty store"
"351","Valdez Mini Market","Brooklyn",2019,"1524 Jefferson Avenue",40.697294,-73.907365,"healhty store"
"352","Valerie Deli Grocery Corp","Brooklyn",2019,"216 Knickerbocker Avenue",40.703297,-73.926262,"healhty store"
"353","Valerie Grocery","Brooklyn",2019,"237 Irving Avenue",40.70062,-73.917173,"healhty store"
"354","Villa F deli grocery","Brooklyn",2019,"17-12 Menahan Street",40.69273,-73.922419,"healhty store"
"355","Yasmin Deli Grocery","Brooklyn",2019,"1436 Myrtle Avenue",40.698918,-73.917197,"healhty store"
"356","NADAL 3 DELI CONVENIENCE","Bronx",2019,"888 Grand Concourse",40.826613,-73.922751,"healhty store"
"357","THIRD Avenue GROCERY&DELI","Bronx",2019,"3047 3rd Avenue",40.820247,-73.913,"healhty store"
"358","Elvis Deli Grocery","Bronx",2019,"430 Grand Concourse",40.817035,-73.927983,"healhty store"
"359","La Colonia Food","Bronx",2019,"594 Morris Avenue",40.818403,-73.922287,"healhty store"
"360","C-Town supermarket","Bronx",2019,"3220 Third Avenue",40.82348,-73.909043,"healhty store"
"361","C town Supermarket","Bronx",2019,"2733 third Avenue",40.814329,-73.920981,"healhty store"
"362","Chris Deli Buffet Salad bar","Bronx",2019,"903 Sheridan Avenue",40.827092,-73.920774,"healhty store"
"363","Fine Fare Supermarket","Bronx",2019,"675 Morris Avenue # 5",40.820467,-73.921371,"healhty store"
"364","Key Food Supermarket","Bronx",2019,"760 Melrose Avenue",40.821431,-73.915289,"healhty store"
"365","La Campiña Deli Grocery","Bronx",2019,"802 Melrose Avenue",40.822584,-73.914684,"healhty store"
"366","Food Town","Bronx",2019,"3100 3rd Avenue",40.821566,-73.912106,"healhty store"
"367","Food Bazaar","Bronx",2019,"238 East 161 Street",40.825947,-73.919633,"healhty store"
"368","760 Grand Concourse Food Corp","Bronx",2019,"760 Grand Concourse",40.823968,-73.9243,"healhty store"
"369","URENA GROCERY","Bronx",2019,"759 Gerard Avenue",40.825155,-73.92633,"healhty store"
"370","Gerard Food Market","Bronx",2019,"740 Gerard Avenue",40.824719,-73.926561,"healhty store"
"371","M G DELI CORP","Bronx",2019,"917 Sheridan Avenue",40.827923,-73.92031,"healhty store"
"372","D G deli","Bronx",2019,"528 Morris Avenue",40.817111,-73.922881,"healhty store"
"373","Amor Deli Grocery","Manhattan",2019,"21 Convent Avenue",40.813617,-73.953094,"healhty store"
"374","FAMILY COMMUNITY DELI &","Manhattan",2019,"41 ST Nicholas Terr.",40.813663,-73.951262,"healhty store"
"375","Food town/Fine Fare Supermarket","Manhattan",2019,"2463 Frederick Douglass Blvd",40.81449,-73.948028,"healhty store"
"376","Lenox deli gourmet corp.","Manhattan",2019,"370 Malcolm X Blvd",40.810045,-73.943812,"healhty store"
"377","Gourmet Revolution","Manhattan",2019,"2090 7th Avenue",40.808639,-73.948582,"healhty store"
"378","Jhajara Deli -Anan Gourmet Deli","Manhattan",2019,"2391 Frederick Douglass Blvd",40.812323,-73.949609,"healhty store"
"379","Manhattan Food Market","Manhattan",2019,"507 Manhattan Avenue",40.80832,-73.954434,"healhty store"
"380","MANHATTANVILLE DELI","Manhattan",2019,"1413 Amsterdam Avenue",40.815476,-73.954726,"healhty store"
"381","Met Foodmarket","Manhattan",2019,"1316 Amsterdam Avenue",40.812515,-73.95691,"healhty store"
"382","Sarah Deli Grocery","Manhattan",2019,"201 West 131st Street",40.812933,-73.945985,"healhty store"
"383","Shop & Fair Supermarket","Manhattan",2019,"2108 Adam Clayton Powell Blvd",40.809286,-73.948112,"healhty store"
"384","St Nicholas Express Deli Inc","Manhattan",2019,"25 Saint Nicholas Ter # 1",40.813136,-73.951642,"healhty store"
"385","Sweet corner grocery","Manhattan",2019,"550 West 126 Street",40.815638,-73.957009,"healhty store"
"386","THRIFTY DELI SPRMKT","Manhattan",2019,"3149 Broadway",40.814248,-73.959354,"healhty store"
"387","SIRAH 1720 LLC","Brooklyn",2020,"535 MARCY AVE",40.696961,-73.949512,"healhty store"
"388","M AND D MINI MARKET","Brooklyn",2020,"613 MARCY AVE",40.693796,-73.948883,"healhty store"
"389","FIRST STOP GROCERY INC","Brooklyn",2020,"643 MARCY AVE",40.692552,-73.948632,"healhty store"
"390","BC GROCERY CORP","Brooklyn",2020,"305 THROOP AVE",40.69325,-73.942973,"healhty store"
"391","TAJUKEN DELI CORP","Brooklyn",2020,"114 MARCUS GARVEY BLVD",40.694772,-73.940401,"healhty store"
"392","AANDE DIRECT LLC","Brooklyn",2020,"40 LEWIS AVE",40.696631,-73.937792,"healhty store"
"393","CENTRAL ORGANIC","Brooklyn",2020,"67 CENTRAL AVE",40.701096,-73.930445,"healhty store"
"394","ALBANITA DELI GROCERY CORP","Brooklyn",2020,"586 BUSHWICK AVE",40.698801,-73.934973,"healhty store"
"395","194 THROOP FOOD CORP","Brooklyn",2020,"777 PARK AVE",40.698191,-73.944311,"healhty store"
"396","BROADWAY ORGANIC DELI INC","Brooklyn",2020,"799 BROADWAY",40.699745,-73.940176,"healhty store"
"397","STAY FRESH GRILL II CORP","Brooklyn",2020,"889 BROADWAY",40.698031,-73.937095,"healhty store"
"398","L STOP GOURMET DELI CORP","Brooklyn",2020,"223 MONTROSE AVE",40.707628,-73.940213,"healhty store"
"399","7 SEAS GROCERY CORP","Brooklyn",2020,"235 BUSHWICK AVE",40.707908,-73.93987,"healhty store"
"400","MLD 91 FOOD CORP","Brooklyn",2020,"91 HUMBOLDT ST",40.704472,-73.941009,"healhty store"
"401","JC DELI AND GRILL CORPORATION","Brooklyn",2020,"442 LORIMER ST",40.710105,-73.948708,"healhty store"
"402","ROCKY DELI GROCERY INC","Brooklyn",2020,"590 BROADWAY",40.703761,-73.947242,"healhty store"
"403","HERMANOS ACOSTA FOOD CORP","Brooklyn",2020,"166 MANHATTAN AVE",40.708517,-73.945096,"healhty store"
"404","131 MANHATTAN DELI GROCERY CORP","Brooklyn",2020,"134 MANHATTAN AVE",40.707282,-73.944905,"healhty store"
"405","GRAHAM STOP ONE DELI INC","Brooklyn",2020,"146 GRAHAM AVE",40.70643,-73.943045,"healhty store"
"406","MR NICE GUY DELI GRILL","Brooklyn",2020,"92 MANHATTAN AVE",40.705465,-73.944629,"healhty store"
"407","FAMOUS DELI AND GRILL INC","Brooklyn",2020,"116 GRAHAM AVE",40.705288,-73.942858,"healhty store"
"408","BOGOPA MANHATTAN INC","Brooklyn",2020,"21 MANHATTAN AVE",40.702939,-73.944235,"healhty store"
"409","LEE HEYWARD GROCERY INC","Brooklyn",2020,"198 LEE AVE",40.701855,-73.955636,"healhty store"
"410","574 MARCY DELI CORP","Brooklyn",2020,"574 MARCY AVE",40.695056,-73.949153,"healhty store"
"411","BROOKLYNS FINEST DELI CORP","Brooklyn",2020,"131 TOMPKINS AVE",40.695076,-73.946235,"healhty store"
"412","J A TOMPKINS FOOD CORP","Brooklyn",2020,"920 MYRTLE AVE",40.695814,-73.945344,"healhty store"
"413","GAWAD DELI GROCERY CORP","Brooklyn",2020,"207 HART ST",40.693782,-73.943525,"healhty store"
"414","JRM DELI GROCERY CORP","Brooklyn",2020,"98 MARCUS GARVEY BLVD",40.695505,-73.940544,"healhty store"
"415","AFS MARKET INC","Brooklyn",2020,"1102 MYRTLE AVE",40.696817,-73.936605,"healhty store"
"416","MONEGRO HECTOR E","Brooklyn",2020,"105 CENTRAL AVE",40.700362,-73.929144,"healhty store"
"417","GREEN CORNER OF NY LLC","Brooklyn",2020,"801 FLUSHING AVE",40.701019,-73.940705,"healhty store"
"418","726 MEAT MARKET INC","Brooklyn",2020,"726 BROADWAY",40.701171,-73.942667,"healhty store"
"419","711 BROOKLYN DELI CORP","Brooklyn",2020,"711 FLUSHING AVE",40.700458,-73.944197,"healhty store"
"420","BNS HOT DELI CORP","Brooklyn",2020,"773 PARK AVE",40.698174,-73.944451,"healhty store"
"421","EAGLE DELI AND GRILL INC","Brooklyn",2020,"317 BUSHWICK AVE",40.705468,-73.939457,"healhty store"
"422","BUSHWICK DELI GROCERY CORP","Brooklyn",2020,"285 BUSHWICK AVE",40.706409,-73.939619,"healhty store"
"423","THE LUNCH BOX DELI CORP","Brooklyn",2020,"204 BUSHWICK AVE",40.708767,-73.940031,"healhty store"
"424","PAULA MARKET AND DELI CORP","Brooklyn",2020,"276 HUMBOLDT ST",40.711173,-73.942114,"healhty store"
"425","MAJOR DELI AND GROCERY CORP","Brooklyn",2020,"203 MAUJER ST",40.711063,-73.942161,"healhty store"
"426","SEM SEM DELI CORP","Brooklyn",2020,"75 HUMBOLDT ST",40.704022,-73.940926,"healhty store"
"427","LORIMER DELI FOOD CORP","Brooklyn",2020,"400 LORIMER ST",40.708821,-73.948497,"healhty store"
"428","ORANGE TREE ORGANIC MARKET CORP","Brooklyn",2020,"121 GRAHAM AVE",40.705994,-73.942995,"healhty store"
"429","BONILLA CARLOS M","Brooklyn",2020,"62 MANHATTAN AVE",40.704416,-73.944457,"healhty store"
"430","EXPRESS GROCERY AND DELI CORPORATIO","Brooklyn",2020,"25 BEAVER ST",40.700609,-73.938376,"healhty store"
"431","128 T EDGECOMBE DELI CORP","Manhattan",2020,"128 EDGECOMBE AVE",40.820961,-73.945071,"healhty store"
"432","135 FUTURE LANDM CORP","Manhattan",2020,"24 WEST 135TH ST",40.813209,-73.938756,"healhty store"
"433","135TH STREET DELI AND GROCERY CORP","Manhattan",2020,"266 WEST 135TH ST",40.816213,-73.945877,"healhty store"
"434","141 FINEST DELI CORP","Manhattan",2020,"332 WEST 141ST ST",40.820958,-73.945375,"healhty store"
"435","2278 DELI AND GROCERY INC","Manhattan",2020,"2278 7TH AVE",40.814546,-73.944268,"healhty store"
"436","7TH AVE DELI GROCERY CORP","Manhattan",2020,"2417 ADAM CLAYTON POWELL JR BLVD",40.819208,-73.940835,"healhty store"
"437","ADAM 1 FOOD CENTER INC","Manhattan",2020,"2657 FREDERICK DOUGLAS BLVD",40.820741,-73.943464,"healhty store"
"438","BEST OF HARLEM CORP","Manhattan",2020,"585 LENOX AVE",40.817351,-73.938503,"healhty store"
"439","ESAYI CORP","Manhattan",2020,"2461 ADAM CLAYTON POWELL JR BLVD",40.820418,-73.939952,"healhty store"
"440","FUNFAIR DELI CORP","Manhattan",2020,"537 LENOX AVE",40.815499,-73.939852,"healhty store"
"441","GOLDEN DELI GROCERY CORP","Manhattan",2020,"2210 5TH AVE",40.812473,-73.937835,"healhty store"
"442","HARLEM EMPIRE DELI INC","Manhattan",2020,"251 WEST 135TH ST",40.816238,-73.945895,"healhty store"
"443","JANET FOOD CORP","Manhattan",2020,"2630 FREDERICK DOUGLASS BLVD",40.819764,-73.944155,"healhty store"
"444","K AND S DELI CORP","Manhattan",2020,"429 LENOX AVE",40.811888,-73.942496,"healhty store"
"445","LINCOLN DELI GROCERY INC 1","Manhattan",2020,"2095 MADISON AVE",40.809959,-73.937238,"healhty store"
"446","MANDS FOOD CORP","Manhattan",2020,"2482 7TH AVE",40.821167,-73.939431,"healhty store"
"447","MO DELI AND GRILL CORP","Manhattan",2020,"665 LENOX AVE",40.81925,-73.937114,"healhty store"
"448","MR 2497 FOOD CORP","Manhattan",2020,"2497 7TH AVE",40.821482,-73.939178,"healhty store"
"449","NUNEZ DOMINGO","Manhattan",2020,"2591 8TH AVE",40.818518,-73.945088,"healhty store"
"450","RIMAR GOURMET DELI INC","Manhattan",2020,"2611 FREDERICK DOUGLAS BLVD",40.819097,-73.944665,"healhty store"
"451","WINSOME DELI INC","Manhattan",2020,"482 LENOX AVE",40.813266,-73.941458,"healhty store"
"452","ALEX FOOD II CORP","Bronx",2020,"1615 UNIVERSITY AVE",40.847317,-73.919933,"healhty store"
"453","ALTAGRACIA GROCERY CORP","Bronx",2020,"10 EAST 176TH ST",40.848576,-73.911408,"healhty store"
"454","AMOR SUPERMARKET CORP","Bronx",2020,"35 WEST 183RD ST",40.85885,-73.905292,"healhty store"
"455","BBC DELI GROCERY CORP","Bronx",2020,"51 EAST TREMONT AVE",40.851275,-73.908322,"healhty store"
"456","BONAO MEATS AND PRODUCE II INC","Bronx",2020,"82 EAST BURNSIDE AVE",40.853268,-73.905933,"healhty store"
"457","BURNSIDE AVE FOOD CENTER INC","Bronx",2020,"111 EAST BURNSIDE AVE",40.853059,-73.905344,"healhty store"
"458","CRUZ MEAT CORP","Bronx",2020,"2262 JEROME AVE",40.85815,-73.904025,"healhty store"
"459","GANDA DELI GROCERY CORP","Bronx",2020,"129 WEST TREMONT AVE",40.850025,-73.913756,"healhty store"
"460","GAVA FOOD CORP","Bronx",2020,"127 WEST BURNSIDE AVE",40.853829,-73.913899,"healhty store"
"461","ILIANA DELI GROCERY LLC","Bronx",2020,"25 EAST 176TH ST",40.848496,-73.910921,"healhty store"
"462","JD DELI AND PIZZA INC","Bronx",2020,"2207 JEROME AVE",40.857217,-73.904601,"healhty store"
"463","JESSICA SUPERMARKET CORP","Bronx",2020,"1645 GRAND AVE",40.846985,-73.91513,"healhty store"
"464","JULIAN GROCERY CORP","Bronx",2020,"143 WEST BURNSIDE AVE",40.853898,-73.91434,"healhty store"
"465","LA GRAN FAMOSA FOOD MARKET CORP","Bronx",2020,"1704 GRAND AVE",40.848507,-73.914025,"healhty store"
"466","LA PODEROSA GROCERY STORE CORP","Bronx",2020,"27 EAST 175TH ST",40.847498,-73.911887,"healhty store"
"467","LOS COMPADRES - 1 GROCERY INC","Bronx",2020,"21 WEST 176TH ST",40.848468,-73.913122,"healhty store"
"468","LOS PINOS FOOD CORP","Bronx",2020,"148 EAST BURNSIDE AVE",40.852452,-73.904629,"healhty store"
"469","LUCKY 3 CONVENIENCE AND DELI CORP","Bronx",2020,"16 WEST 177TH ST",40.850097,-73.911399,"healhty store"
"470","MORRIS BEST DELI AND GRILL INC","Bronx",2020,"16 EAST 183RD ST",40.858583,-73.903355,"healhty store"
"471","MY FAMILY DELI GROCERY CORP","Bronx",2020,"54 EAST 181ST ST",40.855271,-73.904564,"healhty store"
"472","PALMAR MINI MARKET INC","Bronx",2020,"2160 WALTON AVE",40.855644,-73.904491,"healhty store"
"473","PAN DELI GROCERY CORP","Bronx",2020,"1893 ANDREWS AVE",40.85362,-73.913889,"healhty store"
"474","PEGUERO GRAND GROCERY CORP","Bronx",2020,"2241 GRAND AVE",40.858176,-73.90623,"healhty store"
"475","PRIMAVERA DELI GROCERY CORP","Bronx",2020,"79 EAST BURNSIDE AVE",40.853301,-73.905973,"healhty store"
"476","PUNAL GROCERY CORP","Bronx",2020,"218 WEST TREMONT AVE",40.85208,-73.91718,"healhty store"
"477","RAYKELL FOOD CORP","Bronx",2020,"78 WEST 183RD ST",40.859302,-73.906622,"healhty store"
"478","SABOR CRIOLLO GROCERY CORP","Bronx",2020,"1841 GRAND CONCOURSE",40.848022,-73.907336,"healhty store"
"479","SAZON DELI GROCERY CORP","Bronx",2020,"131 EAST 183RD ST",40.857727,-73.900811,"healhty store"
"480","SHOP LAND DISCOUNT CORP","Bronx",2020,"25 WEST TREMONT AVE",40.851922,-73.910883,"healhty store"
"481","SWEET CORNER FOOD CENTER CORP","Bronx",2020,"1971 GRAND AVE",40.852161,-73.910789,"healhty store"
"482","TEAMS MARKET INC","Bronx",2020,"1791 WALTON AVE",40.848015,-73.909927,"healhty store"
"483","THREE TIMES C FOOD CORP","Bronx",2020,"1707 UNIVERSITY AVE",40.849338,-73.917089,"healhty store"
"484","TRES K DELI GRCY FRUITANDMEAT INC","Bronx",2020,"125 WEST TREMONT AVE",40.850041,-73.913619,"healhty store"
"485","TU GENTE DELI AND GROCERY CORP","Bronx",2020,"1801 UNIVERSITY AVE",40.850561,-73.91536,"healhty store"
"486","VILLA TRINA FOOD CORP","Bronx",2020,"70 EAST 183RD ST",40.858247,-73.902387,"healhty store"
"487","48 Burnside Food Corp (Food Dynasty Supermarket)","Bronx",2022,"40 W Burnside Avenue",40.853839,-73.909077,"healhty store"
"488","58 Burnside Food Corp","Bronx",2022,"58 W Burnside Avenue",40.854163,-73.909767,"healhty store"
"489","151 E Tremont Food Corp (Compare Supermarket)","Bronx",2022,"151 E Tremont Avenue",40.8502,-73.906783,"healhty store"
"490","183 Food Market Corp (Food Universe Supermarket)","Bronx",2022,"60 W 183rd Street",40.85917,-73.906246,"healhty store"
"491","1029 Food Plaza Inc","Bronx",2022,"122 E 181 Street",40.854853,-73.903444,"healhty store"
"492","A B International Market Inc (African)","Bronx",2022,"2235 Jerome Avenue",40.857552,-73.904398,"healhty store"
"493","AD Food Corp (Antillana Supermarket)","Bronx",2022,"2285 Grand Concourse",40.857079,-73.900173,"healhty store"
"494","Bonoful Grocery Inc","Bronx",2022,"7 E 182nd Street",40.85726,-73.904293,"healhty store"
"495","Charisse And Christine Enterprise Ltd (C-Town)","Bronx",2022,"1750 University Avenue",40.849322,-73.917079,"healhty store"
"496","Fama Food Corp (C-Town)","Bronx",2022,"2276 Creston Avenue",40.857302,-73.901203,"healhty store"
"497","Franco Fruit And Vegetable","Bronx",2022,"121 E Burnside Avenue",40.853012,-73.905221,"healhty store"
"498","Los Castlillos Mini Market (Supermarket)","Bronx",2022,"1601 University Avenue",40.846977,-73.920465,"healhty store"
"499","Lenox & 132nd Food Corp.","Manhattan",2022,"424 West 135th Street",40.818092,-73.950161,"healhty store"
